Country,IndicatorName,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,Final consumption expenditure,1691108977,1826664360,1544444495,1637777780,1984444453,2173333411,2248888963,2680000054,2942222153,3302299763,3267891073,3109967280,3077042975,3043752184,3006622795,2972943050,2971971383,2583997230,2384418638,2991104595,3241081960,3116502075,3374469265,2689199276,2214902251,3513193826,3510793694,3504356401,3494164103,3367516249,4507324223,4646550220,5092313226,6318556491,6630613774,7348228746,7717235832,10618075253,10033142804,11440963925,15559337860,19502805013,22824645453,21907411521,20160736889,19054338290,18415522727,18595867251,20827026879,21380902605,22863085554,16637700249,16933011831,19465617281
Afghanistan,Household consumption expenditure (including Non-profit institutions serving households),1577101926,1703518767,1440324923,1527366076,1850662043,2026816934,2097278863,2499326383,2743870598,3079673434,3047584398,2900307024,2869602593,2838555870,2803929301,2772521428,2771613476,2409794547,2223675684,2789451461,3022579920,2906425891,3146932965,2507913020,2065658685,3276081312,3274290439,3268555076,3257178135,3141951875,4205070348,4323943509,4764064913,5873885580,6076023305,6679163803,6895654282,9476716391,8965250733,9850898291,12841965200,16158080664,18517359047,17584088603,15815179502,14969064839,14295836656,14607873831,16883256160,17219764121,18444997719,13414128580,13836419744,15986878912
Afghanistan,General government final consumption expenditure,114007052,123145593,104119573,110411682,133782410,146516477,151610077,180673671,198351555,222626329,220306675,209660257,207440362,205196313,202693513,200421642,200357907,174202683,160742953,201653134,218502060,210076184,227536300,181286256,149243566,237112516,236503255,235801325,236985968,225564374,302253875,322606711,328248313,444670911,554590468,669064944,821581550,1141358862,1067892071,1590065634,2717372660,3344724349,4307286407,4323322918,4345557388,4085273451,4119686070,3987993420,3943770719,4161138484,4418087835,3223571669,3096592086,3478738368
Afghanistan,Gross capital formation,95555562,99999984,104444451,126666650,188888891,231111100,348888884,366666661,457777779,492313911,480714719,468307979,458233729,453112148,449357824,443208635,443222825,385593521,355627062,446177275,483502408,442107006,455942647,346584719,272652409,413587068,395714135,378582800,362163145,335182279,431196567,492265005,483993822,534819859,863288267,1191370718,1434621754,1487765490,1285068870,1530317451,1989911170,2372606536,3013380605,2985914824,2795861226,2711462733,2331711615,2640511428,2689518829,2434403828,2289180422,1968902934,2362752283,2487353149
Afghanistan,Gross fixed capital formation (including Acquisitions less disposals of valuables),95555562,99999984,104444451,126666650,188888891,231111100,348888884,366666661,457777779,492313911,480714719,468307979,458233729,453112148,449357824,443208635,443222825,385593521,355627062,446177275,483502408,442107006,455942647,346584719,272652409,413587068,395714135,378582800,362163145,335182279,431196567,492265005,483993822,534819859,863288267,1191370718,1434621754,1487765490,1285068870,1530317451,1989911170,2372606536,3013380605,2985914824,2795861226,2711462733,2331711615,2640511428,2689518829,2434403828,2289180422,1968902934,2362752283,2487353149
Afghanistan,Exports of goods and services,171111114,199999991,235555545,224444445,302222230,299999997,337777784,344444462,357777772,440326652,417730004,396811031,398734137,390619628,386363519,382937177,382043355,332354075,306776424,384683692,416898390,461897832,561018724,491946881,439437605,747538111,794085995,836519425,875067343,880413092,1225051538,1221288589,1270930749,2033321222,1806325788,1878037754,2108933975,2121889654,2136954391,2406834650,2343234541,2015377883,2503510470,3029988907,3093255193,3270651053,3324496757,4178085648,2944148648,2376328727,2082393750,2174408239,2605366600,2753935188
Afghanistan,Imports of goods and services,208888901,295555553,288888876,255555555,320000007,337777784,380000016,437777791,457777779,537000039,524612444,496298515,495126347,488045047,481898373,477188959,476637670,414444932,382522193,479765659,519882869,680406236,916829088,863329066,812390323,1438015267,1576230062,1703162969,1819429088,1863113723,2631694710,2739568899,2562046421,3987906458,3796154686,3942657384,3967898631,4228394200,3159019572,3446515671,4747913912,5967689182,8547130674,8018905912,6549392384,6336878372,5886742740,6432580951,7733529739,6819276722,7251651514,5620090866,7726136314,8290169214
Afghanistan,Gross Domestic Product (GDP),1748886597,1831108982,1595555482,1733333275,2155555500,2366666613,2555555571,2953333408,3300000103,3697940356,3641723443,3478787916,3438884594,3399439011,3360445864,3321900002,3320599991,2887499993,2664299991,3342200002,3621600007,3340100005,3474600007,2664399992,2114600000,3236300000,3124359411,3016290743,2911960069,2719992175,3531869351,3620525250,4285191376,4898791114,5504073142,6474979835,7292892929,9999336197,10296146493,11931600355,15144569659,17923100250,19794405855,19904409340,19500460924,18699573704,18224349784,19034302820,18856319311,19372358437,19983008212,15160920556,14174994400,16416748498
Afghanistan,"Agriculture, hunting, forestry, fishing (ISIC A-B)",878687780,920010936,801641220,870871218,1083067657,1188976426,1284009992,1484165633,1657178880,1858590479,1831206025,1743165590,1732784851,1711812673,1666160273,1701699993,1668899994,1364599992,1632400005,2262900002,1294399997,1660000003,1926500007,1691399991,1549800000,2125800000,1994876365,1872016047,1756722442,1595022291,2013191557,1927812146,1849755623,2027963668,1862386897,2272585564,2462249236,3504385645,3003033959,3934798327,4493102545,5211050904,5462840733,5382079922,5188962930,4532803266,4719621893,4839052802,4325515583,5028423419,5990027394,5093708554,4777172134,5667202735
Afghanistan,"Mining, Manufacturing, Utilities (ISIC C-E)",380487566,398376436,347123422,377109248,468964992,514857174,556044680,642513347,717742932,805022956,791976885,756029323,750661311,737023933,728822567,734699999,705200006,626899989,455600016,520200006,745700006,677200005,420600000,278599999,173400001,175800000,213644777,259636466,315528867,371007367,606430036,713594740,733618264,722299789,804929944,849902344,883574193,1244362459,1229096682,1042375402,1235461369,1614133296,1544970833,1375613643,1322779114,1283435479,1298744111,1438978637,1898472880,2672111668,2192680527,1953132289,2132734206,2086705986
Afghanistan,Manufacturing (ISIC D),373877624,391455705,341093078,370557975,460817996,505912884,546384920,631351401,705273941,791038061,778218343,742894778,737621803,724219308,716159227,721942845,692942342,616004489,447692761,511180786,732752119,665367897,413293896,273798559,170408930,172725170,209795831,255258048,310306407,364579112,595092660,698865221,725472357,709018556,780584856,812367299,828708657,1154475154,1129828972,911498858,1030384841,1217475120,1151919237,978569605,906329559,809348331,725213957,786046347,1201587242,1949719478,1504341757,1287644669,1444469853,1248762679
Afghanistan,Construction (ISIC F),47265585,49487974,43120174,46846637,58257347,63952146,69081948,79815901,89127515,100074312,98350531,93775024,93619204,91240312,90077381,93099995,85299993,77100008,63700003,79300006,112500008,106400000,134900005,103900000,76500000,164600000,164479824,164359737,164239737,158792896,213421729,229567300,184076339,231210930,367328737,475837750,567696418,550787343,531675882,558460730,642056152,665769049,701619107,686516583,700346079,698470978,591298569,618983897,656262761,446734348,395640416,210889234,142405277,133339401
