Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.3108893004,,,,,,,,,,87.35285803815,,,,,,,,,,,,,,,97.34080781558,,,,,,,,
Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35883.6113262375,,,,,,,,,,47545.0687305638,,,,,,,,,,,,,,,63984.1243767853,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1309.672466805,,,,,,,,,,2280.088881826,,,,,,,,,,,,,,,3993.83610705,,,,,,,,
Africa Western and Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30308.5662748931,,,,,,,,,,38443.6872190038,,,,,,,,,,,,,,,51046.987690028,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1559.94768115246,,,,,,,,,,2010.4416603827,,,,,,,,,,,,,,,2991.3469865533,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,596.86092547715,,,,,,,,,,790.05473415509,,,,,,,,,,,,,,,827.69395654173,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0436834805,,,,,,,,,,31.854123801,,,,,,,,,,,,,,,30.9358154312,,,,,,,,
Arab World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47990.206198227,,,,,,,,,,60338.9136733551,,,,,,,,,,,,,,,76974.6325607486,,,,,,,,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1060.873607515,,,,,,,,,,1386.317341611,,,,,,,,,,,,,,,2263.10504571,,,,,,,,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8570.4179461242,,,,,,,,,,10030.146186676,,,,,,,,,,,,,,,11432.7305610191,,,,,,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,874.969537926,,,,,,,,,,887.446253324,,,,,,,,,,,,,,,922.33502653,,,,,,,,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.913868005385,,,,,,,,,,11.913868005385,,,,,,,,,,,,,,,23.43530367779,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.25936951578,,,,,,,,,,28.94490906874,,,,,,,,,,,,,,,31.86330246835,,,,,,,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10027.780417343,,,,,,,,,,10794.841680659,,,,,,,,,,,,,,,11945.986036946,,,,,,,,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2512.61623932,,,,,,,,,,2685.348713011,,,,,,,,,,,,,,,2973.712010219,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1823.90461321,,,,,,,,,,2145.736266697,,,,,,,,,,,,,,,2589.858867181,,,,,,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416.061402492,,,,,,,,,,568.54775748,,,,,,,,,,,,,,,887.842343383,,,,,,,,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6642.2052147843,,,,,,,,,,6961.534982994,,,,,,,,,,,,,,,7730.879239745,,,,,,,,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1014.6356801175,,,,,,,,,,1413.5481945591,,,,,,,,,,,,,,,2005.9093441513,,,,,,,,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,940.209081152,,,,,,,,,,1212.414139403,,,,,,,,,,,,,,,1599.295141703,,,,,,,,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46298.409398434,,,,,,,,,,51109.24139721,,,,,,,,,,,,,,,56970.02069378,,,,,,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2458.27458257894,,,,,,,,,,2298.23006524629,,,,,,,,,,,,,,,2109.34419338666,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259.0865296102,,,,,,,,,,284.019768575,,,,,,,,,,,,,,,330.2917370002,,,,,,,,
"Bahamas, The",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.81233098939,,,,,,,,,,177.94484822138,,,,,,,,,,,,,,,203.74424328,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1316.158258267,,,,,,,,,,1469.420647608,,,,,,,,,,,,,,,1641.927708162,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3179.480134043,,,,,,,,,,3170.850644675,,,,,,,,,,,,,,,2882.604490276,,,,,,,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.2068537478,,,,,,,,,,97.0804126788,,,,,,,,,,,,,,,122.899862862001,,,,,,,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.36227176549,,,,,,,,,,34.09296538802,,,,,,,,,,,,,,,41.96724761788,,,,,,,,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1214.23819343,,,,,,,,,,1503.991444238,,,,,,,,,,,,,,,1767.519043522,,,,,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34620.952425119,,,,,,,,,,41034.544256159,,,,,,,,,,,,,,,45853.339612948,,,,,,,,
